ensembl,FC,padj,gene
ENSG00000043462.12,-7.554945474,3.40E-06,LCP2
ENSG00000274944.4,-7.45106043,6.51E-06,AL139260.3
ENSG00000236892.2,-7.277937547,1.13E-05,AL357833.1
ENSG00000136514.3,-7.274229033,1.10E-05,RTP4
ENSG00000288473.1,-6.40449677,0.000354441,AL669830.1
ENSG00000239704.11,-5.685492012,0.004013388,CDRT4
ENSG00000263823.1,-5.605270971,0.005084704,AC009831.1
ENSG00000259623.1,-5.285569929,0.015591897,AC125257.1
ENSG00000275186.1,-5.179172173,0.017032696,AC018445.1
ENSG00000285762.1,-5.179172173,0.017032696,AC253536.7
ENSG00000280828.1,-5.068259162,0.022100038,AC090114.3
ENSG00000264187.1,-4.785638404,0.044711516,AC055811.2
ENSG00000197646.8,-4.769665249,6.48E-10,PDCD1LG2
ENSG00000250992.2,-4.764146425,0.043858371,AC139491.3
ENSG00000236120.7,-4.683370856,0.012204913,AC110995.1
ENSG00000249852.1,-4.620270732,0.014159064,AC145676.1
ENSG00000273174.1,-4.613420822,0.014216378,AC108673.2
ENSG00000258976.1,-4.608264947,0.05944097,AC013451.2
ENSG00000258813.2,-4.608264947,0.05944097,AL442663.3
ENSG00000267140.1,-4.602268954,0.05925247,AC007998.2
ENSG00000105792.19,-4.602268954,0.05925247,CFAP69
ENSG00000207547.1,-4.596251692,0.060787766,MIR25
ENSG00000274818.1,-4.549832685,0.017067613,AC004825.2
ENSG00000080823.23,-4.499335678,4.22E-162,MOK
ENSG00000149257.14,-4.497049231,0,SERPINH1
ENSG00000266896.1,-4.419920398,0.085913917,AL354892.3
ENSG00000258691.1,-4.419920398,0.085913917,AL355102.2
ENSG00000258955.2,-4.413043988,0.084164828,LINC00519
ENSG00000157306.14,-4.413043988,0.084164828,ZFHX2-AS1
ENSG00000234664.1,-4.406194341,0.08516311,HMGN2P5
ENSG00000273010.1,-4.402282336,0.023071015,AL360270.3
ENSG00000254838.5,-4.399261197,0.088767172,GVINP1
ENSG00000128342.5,-4.384847589,6.80E-195,LIF
ENSG00000272711.1,-4.372640513,0.001019533,AC019069.1
ENSG00000268812.3,-4.362478963,0.001150051,AC004264.1
ENSG00000272825.1,-4.333406434,0.027226282,AL844908.1
ENSG00000126785.13,-4.252384478,9.64E-22,RHOJ
ENSG00000163915.7,-4.236291557,0.001847937,IGF2BP2-AS1
ENSG00000268975.2,-4.195214882,0.122748333,MIA-RAB4B
ENSG00000271784.1,-4.195214882,0.122748333,AL031055.1
ENSG00000240889.1,-4.195120112,0.002157,NDUFB2-AS1
ENSG00000246283.2,-4.18722901,0.122172735,AC090510.1
ENSG00000273449.1,-4.18722901,0.122172735,AC093788.1
ENSG00000279127.1,-4.18722901,0.122172735,AL121950.1
ENSG00000268401.2,-4.17920326,0.125276491,AC007785.3
ENSG00000257918.1,-4.17920326,0.125276491,AC079385.3
ENSG00000282870.1,-4.17920326,0.125276491,FRG1DP
ENSG00000280145.3,-4.078838579,0.047662948,CU638689.4
ENSG00000175505.11,-3.98760442,2.24E-07,CLCF1
ENSG00000233101.10,-3.968270095,0.057395815,HOXB-AS3
ENSG00000258717.1,-3.968178838,0.057020935,AL132711.1
ENSG00000237807.4,-3.929351805,1.69E-33,AC022034.1
ENSG00000155465.18,-3.92897579,0.176403425,SLC7A7
ENSG00000278878.1,-3.92897579,0.176403425,CU638689.1
ENSG00000247746.4,-3.920102762,1.16E-07,USP51
ENSG00000251660.1,-3.919395787,0.178475937,AC007036.3
ENSG00000252274.1,-3.919395787,0.178475937,AC080037.1
ENSG00000273447.1,-3.919395787,0.178475937,AC004067.1
ENSG00000273485.1,-3.919395787,0.178475937,AL139339.2
ENSG00000261617.2,-3.909626415,0.187899901,LINC02177
ENSG00000279198.1,-3.863256479,0.070184384,AC008894.3
ENSG00000241269.1,-3.863256479,0.070184384,AC093620.1
ENSG00000215692.2,-3.856194314,0.068627701,AC114730.1
ENSG00000110031.12,-3.822493083,2.43E-153,LPXN
ENSG00000116132.12,-3.806621798,1.26E-116,PRRX1
ENSG00000272173.1,-3.797248967,0.009377042,U47924.2
ENSG00000120075.5,-3.790920052,1.52E-21,HOXB5
ENSG00000269925.1,-3.635144227,0.104754719,Z98884.2
ENSG00000222000.7,-3.614681301,0.102507374,AC092675.1
ENSG00000283445.1,-3.614239254,0.261082466,AL136985.3
ENSG00000224680.4,-3.602263207,0.259318154,PLA2G12AP1
ENSG00000101812.12,-3.602263207,0.259318154,H2BFM
ENSG00000235489.4,-3.602263207,0.259318154,DBF4P1
ENSG00000287424.1,-3.602263207,0.259318154,AC080079.2
ENSG00000266235.1,-3.602263207,0.259318154,MIR3176
ENSG00000204805.9,-3.602263207,0.259318154,AL391987.2
ENSG00000228044.3,-3.602263207,0.259318154,AL160408.1
ENSG00000236536.1,-3.602263207,0.259318154,AC003986.3
ENSG00000244952.2,-3.602263207,0.259318154,AC123768.2
ENSG00000250569.1,-3.602263207,0.259318154,NTAN1P2
ENSG00000256299.1,-3.602263207,0.259318154,AC073912.2
ENSG00000262831.1,-3.602263207,0.259318154,AC145207.3
ENSG00000271659.1,-3.602263207,0.259318154,AL161729.4
ENSG00000273361.1,-3.602263207,0.259318154,AC021016.3
ENSG00000274266.1,-3.602263207,0.259318154,SNORA73A
ENSG00000278974.1,-3.602263207,0.259318154,AC093909.6
ENSG00000280010.1,-3.602263207,0.259318154,AP001350.2
ENSG00000285035.1,-3.590193238,0.267873123,AC091057.5
ENSG00000259807.2,-3.546546224,8.40E-57,AC009093.1
ENSG00000151702.17,-3.523853698,2.22E-42,FLI1
ENSG00000272269.1,-3.465921434,0.005570056,AL138724.1
ENSG00000254910.1,-3.461745134,0.027768979,AC136475.2
ENSG00000280018.4,-3.361992461,0.000376954,CU634019.5
ENSG00000132274.16,-3.355091419,5.46E-42,TRIM22
ENSG00000184588.18,-3.355052023,1.01E-91,PDE4B
ENSG00000274104.1,-3.34318326,0.156491721,AC020910.5
ENSG00000244513.7,-3.334938499,0.036230955,AC109587.1
ENSG00000250072.6,-3.333638008,0.002016833,SH3TC2-DT
ENSG00000188549.12,-3.330929795,5.18E-112,CCDC9B
ENSG00000277017.1,-3.329613019,0.157586755,AC023490.2
ENSG00000076248.10,-3.292198711,4.29E-100,UNG
ENSG00000146950.13,-3.25847714,2.12E-87,SHROOM2
ENSG00000151612.18,-3.251607834,6.75E-91,ZNF827
ENSG00000153885.14,-3.24973096,4.18E-137,KCTD15
ENSG00000227542.1,-3.245960563,0.044298439,AC092614.1
ENSG00000261327.5,-3.201328554,2.82E-31,AC134312.5
ENSG00000285108.1,-3.195176651,0.380008479,AC103718.1
ENSG00000213609.3,-3.195176651,0.380008479,RPL7AP50
ENSG00000213430.6,-3.195176651,0.380008479,HSPD1P1
ENSG00000187144.11,-3.195176651,0.380008479,SPATA21
ENSG00000214391.3,-3.195176651,0.380008479,TUBAP2
ENSG00000244582.2,-3.195176651,0.380008479,RPL21P120
ENSG00000249092.1,-3.195176651,0.380008479,PPIAP77
ENSG00000149948.13,-3.193140257,1.84E-94,HMGA2
ENSG00000279692.1,-3.188214277,0.000298622,AC110285.6
ENSG00000219755.1,-3.179227446,0.38450651,AL137784.1
ENSG00000217716.3,-3.179227446,0.38450651,RPS10P3
ENSG00000234663.7,-3.179227446,0.38450651,LINC01934
ENSG00000153446.15,-3.179227446,0.38450651,C16orf89
ENSG00000185834.10,-3.179227446,0.38450651,RPL12P4
ENSG00000230647.2,-3.179227446,0.38450651,AC022816.1
ENSG00000251367.1,-3.179227446,0.38450651,AC091917.3
ENSG00000105392.16,-3.162715451,0.197273602,CRX
ENSG00000237232.8,-3.160001142,0.194940961,ZNF295-AS1
ENSG00000196263.8,-3.157112022,0.193670455,ZNF471
ENSG00000233321.2,-3.155851445,1.87E-07,LINC02669
ENSG00000236449.2,-3.155529957,0.004734347,AC010894.3
ENSG00000271797.1,-3.151392836,0.193541327,AC008494.3
ENSG00000272459.1,-3.151392836,0.193541327,AC139795.3
ENSG00000279822.1,-3.15133919,0.016495202,AC016397.2
ENSG00000204301.6,-3.117142329,0.013880651,NOTCH4
ENSG00000136869.16,-3.097622196,8.50E-120,TLR4
ENSG00000259977.1,-3.097288826,1.53E-05,AL121578.3
ENSG00000239322.1,-3.082789587,5.43E-09,ATP6V1B1-AS1
ENSG00000261253.2,-3.053307846,0.002490171,AC137932.2
ENSG00000043143.20,-2.998273557,4.73E-211,JADE2
ENSG00000159217.10,-2.985570116,3.01E-124,IGF2BP1
ENSG00000176753.5,-2.983524941,0.24206454,C15orf56
ENSG00000275882.1,-2.982404428,4.78E-08,IKBKGP1
ENSG00000197153.4,-2.98142679,0.005310426,HIST1H3J
ENSG00000286193.2,-2.976799237,0.23979833,AC025449.2
ENSG00000260190.1,-2.976799237,0.23979833,AL807752.5
ENSG00000129295.9,-2.963669325,0.246953954,LRRC6
ENSG00000267281.2,-2.963669325,0.246953954,ATF7-NPFF
ENSG00000256433.3,-2.961221779,0.241547092,AC005840.2
ENSG00000128254.14,-2.961221779,0.241547092,C22orf24
ENSG00000235946.1,-2.94770051,0.248645569,AC234783.1
ENSG00000101040.19,-2.943753294,1.29E-200,ZMYND8
ENSG00000140682.19,-2.924789014,3.79E-71,TGFB1I1
ENSG00000277734.8,-2.91407959,0.001046873,TRAC
ENSG00000253537.3,-2.886111828,0.113075851,PCDHGA7
ENSG00000278903.3,-2.8748842,0.110543115,CU633906.2
ENSG00000105137.13,-2.862136458,1.52E-150,SYDE1
ENSG00000132357.14,-2.860171702,8.11E-21,CARD6
ENSG00000274897.3,-2.854911434,0.105580933,PANO1
ENSG00000279094.3,-2.850544966,0.01719629,LINC01670
ENSG00000082497.12,-2.850417207,9.56E-55,SERTAD4
ENSG00000271533.1,-2.843468928,0.051560608,Z83843.1
ENSG00000285000.1,-2.839727545,0.296292605,AC008581.2
ENSG00000221963.6,-2.831198599,2.27E-116,APOL6
ENSG00000175592.9,-2.820809267,4.76E-271,FOSL1
ENSG00000269019.2,-2.811248149,0.048470096,HOMER3-AS1
ENSG00000283761.1,-2.802786449,0.049148613,AC118553.2
ENSG00000235288.3,-2.790519686,1.17E-07,AC099329.1
ENSG00000286905.1,-2.785345278,0.175888095,AC108488.2
ENSG00000110852.4,-2.785203756,8.06E-48,CLEC2B
ENSG00000259863.1,-2.774399812,4.90E-11,SH3RF3-AS1
ENSG00000117394.23,-2.773231883,0,SLC2A1
ENSG00000254703.2,-2.772325821,0.001850322,SENCR
ENSG00000103067.14,-2.759252227,0.302560606,ESRP2
ENSG00000248278.1,-2.751555501,0.302217936,SUMO2P17
ENSG00000255197.6,-2.751555501,0.302217936,AC090559.1
ENSG00000270195.2,-2.751555501,0.302217936,AC016773.1
ENSG00000261238.1,-2.743957744,0.306781255,AC009166.1
ENSG00000164400.6,-2.742109907,0.304639363,CSF2
ENSG00000244586.1,-2.742109907,0.304639363,WNT5A-AS1
ENSG00000162267.12,-2.742109907,0.304639363,ITIH3
ENSG00000267270.6,-2.734591068,0.30426721,PARD6G-AS1
ENSG00000258101.2,-2.734591068,0.30426721,AC010173.1
ENSG00000253133.2,-2.734591068,0.30426721,AC009630.1
ENSG00000231948.2,-2.734591068,0.30426721,HS1BP3-IT1
ENSG00000136205.17,-2.73299969,0,TNS3
ENSG00000235319.1,-2.726749308,0.308782862,AC012360.1
ENSG00000228748.2,-2.726749308,0.308782862,AL450306.1
ENSG00000278611.2,-2.726749308,0.308782862,ZNF426-DT
ENSG00000119403.15,-2.710255833,4.33E-143,PHF19
ENSG00000262001.1,-2.694549543,4.14E-06,DLGAP1-AS2
ENSG00000114251.14,-2.692157637,1.72E-208,WNT5A
ENSG00000099290.17,-2.677164154,6.31E-29,WASHC2A
ENSG00000160072.20,-2.667073632,8.75E-34,ATAD3B
ENSG00000131634.14,-2.661088369,1.50E-11,TMEM204
ENSG00000274333.4,-2.660799522,0.023678585,CU633967.1
ENSG00000276832.2,-2.648311779,0.171876371,AL354718.3
ENSG00000116885.18,-2.644509167,0.046544233,OSCP1
ENSG00000138161.14,-2.643647473,0.169090958,CUZD1
ENSG00000132000.13,-2.64266437,0.081150007,PODNL1
ENSG00000268388.6,-2.626426098,3.16E-18,FENDRR
ENSG00000241155.1,-2.625374551,0.159520459,ARHGAP31-AS1
